epoch,train_loss,val_loss,miou,bark_iou,accuracy,lr,best_miou,elapsed_min
1,0.9142,0.247363,0.481682,0.0,0.963364,0.001,0.481682,0.93
2,0.465978,0.231732,0.670589,0.370277,0.97139,0.001,0.670589,1.85
3,0.617937,0.193828,0.444816,0.125654,0.771721,0.001,0.670589,2.79
4,0.342052,0.183893,0.609473,0.265849,0.95388,0.001,0.670589,3.71
5,0.562269,0.167296,0.605601,0.275543,0.937195,0.001,0.670589,4.66
6,0.420232,0.115418,0.52702,0.194933,0.863754,0.001,0.670589,5.59
7,0.266808,0.118456,0.602216,0.279182,0.927353,0.001,0.670589,6.53
8,1.12801,0.113712,0.686143,0.411915,0.961441,0.001,0.686143,7.47
9,0.366211,0.086007,0.621771,0.316903,0.929054,0.001,0.686143,8.42
10,0.243616,0.219894,0.37443,0.094696,0.666237,0.001,0.686143,9.36
11,0.193406,0.075997,0.660683,0.380375,0.943054,0.001,0.686143,10.3
12,0.177171,0.080794,0.683205,0.412912,0.954971,0.001,0.686143,11.24
13,0.214143,0.11154,0.533772,0.206698,0.865715,0.001,0.686143,12.17
14,0.856303,0.067846,0.687978,0.423218,0.954323,0.001,0.687978,13.12
15,0.200063,0.084172,0.65191,0.36516,0.94075,0.001,0.687978,14.06
16,0.252079,0.074213,0.685258,0.4166,0.955383,0.001,0.687978,15.0
17,0.23906,0.077724,0.645024,0.353335,0.938828,0.001,0.687978,15.94
18,0.202044,0.085137,0.578007,0.260333,0.899376,0.001,0.687978,16.88
19,0.26552,0.081706,0.638287,0.343506,0.935333,0.001,0.687978,17.81
20,0.233783,0.080891,0.695815,0.432743,0.960136,0.001,0.695815,18.73
21,0.241073,0.078714,0.652509,0.364713,0.942284,0.0007,0.695815,19.68
22,0.187301,0.068641,0.675443,0.403275,0.949402,0.0007,0.695815,20.62
23,0.184523,0.074064,0.728007,0.489757,0.967316,0.0007,0.728007,21.57
24,0.180689,0.074736,0.630943,0.333111,0.931221,0.0007,0.728007,22.49
25,0.908185,0.070333,0.722588,0.481217,0.965126,0.0007,0.728007,23.43
26,0.169604,0.062137,0.693933,0.433323,0.95607,0.0007,0.728007,24.38
27,0.509437,0.074715,0.729474,0.491773,0.968185,0.0007,0.729474,25.32
28,0.346191,0.076701,0.63067,0.333504,0.930351,0.0007,0.729474,26.25
29,0.229136,0.089525,0.658317,0.37349,0.945007,0.0007,0.729474,27.2
30,0.202072,0.071815,0.662705,0.382778,0.944603,0.0007,0.729474,28.13
31,0.17123,0.064087,0.705565,0.452852,0.959671,0.0007,0.729474,29.07
32,0.14204,0.069704,0.713936,0.465922,0.963173,0.0007,0.729474,30.01
33,0.13636,0.073315,0.653294,0.368408,0.940331,0.0007,0.729474,30.95
34,0.151211,0.072362,0.735564,0.50345,0.968704,0.0007,0.735564,31.89
35,0.141467,0.074894,0.742417,0.515863,0.969963,0.0007,0.742417,32.84
36,0.130369,0.067021,0.668088,0.392415,0.945732,0.0007,0.742417,33.78
37,0.123291,0.071232,0.649788,0.363529,0.938301,0.0007,0.742417,34.74
38,0.12734,0.075111,0.625508,0.325616,0.927994,0.0007,0.742417,35.68
39,0.1236,0.065324,0.674508,0.401722,0.949097,0.0007,0.742417,36.62
40,0.119327,0.06374,0.689672,0.427906,0.95314,0.0007,0.742417,37.56
41,0.11908,0.065028,0.692852,0.431772,0.95549,0.00049,0.742417,38.5
42,0.583466,0.064926,0.70945,0.45968,0.960587,0.00049,0.742417,39.45
43,0.122768,0.062175,0.68836,0.425313,0.953094,0.00049,0.742417,40.39
44,0.123407,0.062975,0.688085,0.424965,0.952904,0.00049,0.742417,41.33
45,0.39503,0.063311,0.684382,0.418684,0.951813,0.00049,0.742417,42.28
46,0.284633,0.068967,0.668423,0.392413,0.946358,0.00049,0.742417,43.21
47,0.455045,0.07215,0.722983,0.482739,0.964447,0.00049,0.742417,44.13
48,0.127693,0.062582,0.679397,0.409662,0.950867,0.00049,0.742417,45.07
49,0.132836,0.071966,0.649246,0.36216,0.938553,0.00049,0.742417,46.01
50,0.128992,0.062849,0.70261,0.448615,0.958084,0.00049,0.742417,46.99
51,0.130273,0.064422,0.698282,0.440514,0.95752,0.00049,0.742417,47.88
52,0.116047,0.064589,0.711929,0.464034,0.961174,0.00049,0.742417,48.84
53,0.248939,0.060904,0.69423,0.435,0.95507,0.00049,0.742417,49.82
54,0.137907,0.068172,0.656907,0.374191,0.941727,0.00049,0.742417,50.79
55,1.913977,0.064795,0.709617,0.45991,0.960686,0.00049,0.742417,51.75
56,0.112601,0.064377,0.717448,0.47336,0.962822,0.00049,0.742417,52.7
57,0.123436,0.064481,0.716013,0.471073,0.962265,0.00049,0.742417,53.7
58,0.12317,0.063915,0.687537,0.423969,0.952805,0.00049,0.742417,54.62
59,1.801347,0.066415,0.69407,0.434076,0.955627,0.00049,0.742417,55.52
60,0.109067,0.064466,0.689708,0.428532,0.952629,0.00049,0.742417,56.42
61,0.1187,0.059174,0.724167,0.485341,0.964241,0.000343,0.742417,57.34
62,1.74656,0.061334,0.725342,0.486841,0.965042,0.000343,0.742417,58.26
63,0.106567,0.064186,0.721435,0.479996,0.964104,0.000343,0.742417,59.19
64,0.105279,0.064667,0.716966,0.472391,0.962822,0.000343,0.742417,60.13
65,0.104491,0.064531,0.709533,0.459765,0.960663,0.000343,0.742417,61.06
66,0.10328,0.061644,0.734613,0.503176,0.967178,0.000343,0.742417,62.0
67,1.772437,0.062423,0.739863,0.511773,0.968994,0.000343,0.742417,62.94
68,0.296304,0.060248,0.732971,0.500287,0.966797,0.000343,0.742417,63.87
69,0.151844,0.063333,0.722641,0.481821,0.964661,0.000343,0.742417,64.81
70,0.137801,0.061943,0.700695,0.443998,0.958794,0.000343,0.742417,65.75
71,0.105114,0.059539,0.6946,0.436875,0.954025,0.000343,0.742417,66.68
72,1.707351,0.062747,0.695197,0.435441,0.956467,0.000343,0.742417,67.62
73,0.108804,0.060093,0.711188,0.464181,0.959656,0.000343,0.742417,68.54
74,0.424045,0.068583,0.685862,0.420694,0.952713,0.000343,0.742417,69.49
75,0.327047,0.062903,0.702355,0.448951,0.957298,0.000343,0.742417,70.43
76,0.118491,0.063381,0.710937,0.462401,0.960838,0.000343,0.742417,71.37
77,0.109611,0.059635,0.726156,0.489546,0.96405,0.000343,0.742417,72.37
78,0.11518,0.059603,0.691772,0.431072,0.954124,0.000343,0.742417,73.3
79,0.102479,0.060039,0.692315,0.432198,0.954094,0.000343,0.742417,74.32
80,0.144904,0.066044,0.722205,0.480832,0.964767,0.000343,0.742417,75.25
81,1.111872,0.060859,0.724405,0.484621,0.965355,0.0002401,0.742417,76.28
82,0.103317,0.06284,0.716685,0.472228,0.962448,0.0002401,0.742417,77.24
83,0.107928,0.062792,0.696451,0.438968,0.955536,0.0002401,0.742417,78.17
84,0.114026,0.064399,0.695484,0.435155,0.957268,0.0002401,0.742417,79.07
85,0.112188,0.060305,0.716258,0.471173,0.962631,0.0002401,0.742417,80.0
86,0.207344,0.055573,0.720422,0.478682,0.963432,0.0002401,0.742417,80.97
87,0.100284,0.059411,0.704706,0.452768,0.958145,0.0002401,0.742417,81.92
88,0.104523,0.065207,0.714138,0.468074,0.961548,0.0002401,0.742417,82.88
89,0.101378,0.061996,0.696202,0.437389,0.956535,0.0002401,0.742417,83.84
90,1.77035,0.06263,0.710173,0.461531,0.96022,0.0002401,0.742417,84.79
91,0.104862,0.058884,0.723302,0.483569,0.964272,0.0002401,0.742417,85.75
92,0.143183,0.063536,0.738606,0.50961,0.968658,0.0002401,0.742417,86.71
93,0.102471,0.060906,0.712828,0.46655,0.960518,0.0002401,0.742417,87.65
94,1.759894,0.059821,0.714664,0.46859,0.962051,0.0002401,0.742417,88.61
95,0.104709,0.058771,0.71754,0.473865,0.962524,0.0002401,0.742417,89.56
96,0.105429,0.063861,0.725539,0.487762,0.964554,0.0002401,0.742417,90.5
97,0.117864,0.059133,0.704895,0.451569,0.95961,0.0002401,0.742417,91.45
98,0.178334,0.062877,0.700935,0.445655,0.957703,0.0002401,0.742417,92.4
99,0.102551,0.060303,0.686093,0.4212,0.952675,0.0002401,0.742417,93.35
100,0.102423,0.059251,0.688524,0.425189,0.953514,0.0002401,0.742417,94.3
101,0.109497,0.06012,0.715883,0.471174,0.961929,0.00016807,0.742417,95.25
102,0.175096,0.059036,0.697972,0.440753,0.956718,0.00016807,0.742417,96.2
103,0.140289,0.062796,0.716484,0.471856,0.962418,0.00016807,0.742417,97.15
104,0.1026,0.063591,0.71431,0.468051,0.961891,0.00016807,0.742417,98.1
105,0.729618,0.05779,0.715491,0.470155,0.962143,0.00016807,0.742417,99.06
106,0.100409,0.065382,0.696897,0.438936,0.956398,0.00016807,0.742417,100.0
107,0.099435,0.06305,0.708586,0.458238,0.960312,0.00016807,0.742417,100.96
108,0.119285,0.059713,0.725422,0.486658,0.965363,0.00016807,0.742417,101.91
109,1.847447,0.05993,0.709924,0.461086,0.960167,0.00016807,0.742417,102.86
110,0.099515,0.06157,0.707075,0.455857,0.959702,0.00016807,0.742417,103.83
111,0.125118,0.058645,0.719598,0.477189,0.96328,0.00016807,0.742417,104.78
112,0.103207,0.05968,0.707466,0.456667,0.959679,0.00016807,0.742417,105.75
113,0.104578,0.059812,0.694728,0.434898,0.956093,0.00016807,0.742417,106.69
114,0.097667,0.061029,0.704636,0.450778,0.959862,0.00016807,0.742417,107.67
115,0.108174,0.059361,0.692222,0.43122,0.954826,0.00016807,0.742417,108.62
116,0.102557,0.060471,0.693355,0.433493,0.954834,0.00016807,0.742417,109.58
117,0.108121,0.062465,0.701593,0.448044,0.956718,0.00016807,0.742417,110.54
118,1.845135,0.060844,0.740811,0.514309,0.968407,0.00016807,0.742417,111.48
119,0.100679,0.05892,0.718083,0.475048,0.96244,0.00016807,0.742417,112.43
120,0.108364,0.063311,0.725681,0.487358,0.965195,0.00016807,0.742417,113.37
121,0.173062,0.056465,0.70862,0.460209,0.958549,0.00011765,0.742417,114.33
122,0.094652,0.058293,0.713821,0.46816,0.960876,0.00011765,0.742417,115.27
123,0.096661,0.059551,0.703237,0.448358,0.959496,0.00011765,0.742417,116.23
124,0.098666,0.05955,0.709194,0.460828,0.959045,0.00011765,0.742417,117.19
125,0.106134,0.058362,0.716297,0.471619,0.962288,0.00011765,0.742417,118.14
126,0.098602,0.060351,0.708656,0.459407,0.959358,0.00011765,0.742417,119.08
127,0.096433,0.055439,0.704815,0.452625,0.958481,0.00011765,0.742417,120.06
128,0.107897,0.057294,0.701038,0.44565,0.957901,0.00011765,0.742417,121.02
129,0.207531,0.059319,0.716475,0.473039,0.961304,0.00011765,0.742417,121.97
130,0.096172,0.056431,0.710802,0.461291,0.961617,0.00011765,0.742417,122.92
131,0.105257,0.067775,0.692331,0.430904,0.955322,0.00011765,0.742417,123.88
132,0.105311,0.063603,0.693678,0.431825,0.956985,0.00011765,0.742417,124.83
133,0.100022,0.062667,0.701066,0.445706,0.957901,0.00011765,0.742417,125.79
134,1.848544,0.062294,0.71662,0.472163,0.962387,0.00011765,0.742417,126.73
135,0.105524,0.059731,0.706472,0.454816,0.959541,0.00011765,0.742417,127.68
136,0.096847,0.060563,0.715509,0.470027,0.962296,0.00011765,0.742417,128.64
137,0.101857,0.057429,0.718627,0.47591,0.962654,0.00011765,0.742417,129.59
138,0.116346,0.060337,0.73434,0.503079,0.966759,0.00011765,0.742417,130.54
139,0.117345,0.061055,0.711025,0.461035,0.962273,0.00011765,0.742417,131.48
140,0.094003,0.059451,0.687433,0.42347,0.953072,0.00011765,0.742417,132.44
141,0.102576,0.05753,0.70987,0.460617,0.960503,8.235e-05,0.742417,133.42
